;		ItemList in NPC									
#ignore	\o042			; 인용부호 무시							
#exchange	#	\x20		; # => space							
#Record	12 	MindBlast01	MindBlast02	MindBlast03	MindBlast04	MindBlast05	MindBlast06				
#Record	13 	BiteArrow01	BiteArrow02	BiteArrow03	BiteArrow04	BiteArrow05	BiteArrow06				
#Record	14 	PiercingGuard01	PiercingGuard02	PiercingGuard03	PiercingGuard04	PiercingGuard05	-				
#Record	15 	PiercingGuard06	PiercingGuard07	PiercingGuard08	PiercingGuard09	PowerShot09	PoisonShot09				
											
#Table	Tab05	;아처 패시브									
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]				
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05				
#Record	0 	BowMastery07	BowMastery08	BowMastery09	BowMastery10	BowMastery11	-				
#Record	1 	CBowMastery06	CBowMastery07	CBowMastery08	CBowMastery09	-	-				
#Record	2 	DodgeMastery07	DodgeMastery08	DodgeMastery09	DodgeMastery10	-	-				
											
#Table	Tab06	;메이지 액티브									
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]				
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05				
#Record	0 	VitalConversion06	VitalConversion07	VitalConversion08	VitalConversion09	-	-				
#Record	1 	MagicBurst05	MagicBurst06	MagicBurst07	MagicBurst08	-	-				
#Record	2 	DispelTrick03	-	-	-	-	-				
#Record	3 	ManaBurn04	ManaBurn05	ManaBurn06	ManaBurn07	-	-				
#Record	4 	MagicBall03	MagicBall04	MagicBall05	MagicBall06	MagicBall07	-				
#Record	5 	IceBlast03	IceBlast04	IceBlast05	IceBlast06	IceBlast07	-				
#Record	6 	FireBall02	FireBall03	FireBall04	FireBall05	FireBall06	-				
#Record	7 	ChainLightning02	ChainLightning03	ChainLightning04	ChainLightning05	ChainLightning06	-				
#Record	8 	DrainMind01	DrainMind02	DrainMind03	-	-	-				
#Record	9 	Inferno01	Inferno02	Inferno03	Inferno04	-	-				
#Record	10 	CurseMagic01	CurseMagic02	CurseMagic03	-	-	-				
#Record	11 	StealEnchant01	-	-	-	-	-				
#Record	12 	FrostNova01	FrostNova02	FrostNova03	FrostNova04	FrostNova05	FrostNova06				
#Record	13 	DispelMagic01	-	-	-	-	-				
#Record	14 	SoulEdge01	SoulEdge02	SoulEdge03	SoulEdge04	SoulEdge05	SoulEdge06				
#Record	15 	DrainMind01	DrainMind02	DrainMind03	DrainMind04	-	-	
#Record	16 	Blur01	Blur02	Blur03	Blur04	Blur05	Blur06	
#Record	17 	ThunderBolt01	ThunderBolt02	ThunderBolt03	ThunderBolt04	ThunderBolt05	-	
			
											
#Table	Tab07	;메이지 패시브									
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]				
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05				
#Record	0 	StaffMastery07	StaffMastery08	StaffMastery09	StaffMastery10	StaffMastery11	-				
#Record	1 	WandMastery06	WandMastery07	WandMastery08	WandMastery09	-	-				
#Record	2 	WisdomMastery07	WisdomMastery08	WisdomMastery09	WisdomMastery10	-	-				
											
#Table	Tab08	;연금술 									
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]				
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05				
#Record	0 	Mining	UseRide	-	-	-	-				
#Record	1 	Recipe_El1	Recipe_El2	Recipe_C_HighCleanWater	Recipe_C_HighMagicCrystal	Recipe_R_CommanderBadge	Recipe_R_NorGemDust				
#Record	2 	Recipe_Lix1	Recipe_Lix2	Recipe_C_HighPledge	Recipe_C_HighSoulDust	Recipe_R_HighSilverOre	Recipe_R_Ramsear				
#Record	3 	Recipe_Xir1	Recipe_Xir2	Recipe_C_NorGoldOre	Recipe_C_BestMushrooms	Recipe_R_HighMushrooms	Recipe_R_HighToadStool				
#Record	4 	Recipe_BestLowHpPotion	Recipe_LowHpPotion	Recipe_C_BestToadStool	Recipe_C_Salvia	Recipe_R_Ruby	Recipe_R_LowGoldOre				
#Record	5 	Recipe_BestLowSpPotion	Recipe_LowSpPotion	Recipe_C_HighGoldOre	Recipe_C_BestWoodSab	Recipe_R_HighWoodSab	Recipe_R_Basil				
#Record	6 	Recipe_BestLowConHPPotion	Recipe_LowConHPPotion	Recipe_C_Marigold	-	-	-				
#Record	7 	Recipe_BestLowConSPPotion	Recipe_LowConSPPotion	-	-	-	-				
#Record	8 	Recipe_BestLowTHScroll	Recipe_LowTHScroll	-	-	-	-				
#Record	9 	Recipe_BestLowTBScroll	Recipe_LowTBScroll	-	-	-	-				
#Record	10 	Recipe_BestLowMRScroll	Recipe_LowMRScroll	-	-	-	-				
#Record	11 	Recipe_BestLowACScroll	-	-	-	-	-				
#Record	12 	Recipe_BestLowMaxHPScroll	-	-	-	-	-				
#Record	13 	Recipe_BestLowMaxSPScroll	Recipe_LowMaxSPScroll	-	-	-	-				
#Record	14 	Recipe_BestLowMSScroll	-	-	-	-	-				
#Record	15 	Recipe_LowPsnResiPotion	-	-	-	-	-				
#Record	16 	Recipe_LowDssResiPotion	-	-	-	-	-				
#Record	17 	Recipe_LowCurResiPotion	-	-	-	-	-				
#Record	18 	Recipe_LowPsnCurPotion	-	-	-	-	-				
#Record	19 	Recipe_LowDssCurPotion	-	-	-	-	-				
#Record	20 	Recipe_BestLowCurScroll	Recipe_LowCurScroll	-	-	-	-				
											
#End											
