;	ItemRandomOption														
#IGNORE	\o042			;인용부호무시											
#EXCHANGE	#	\x20		;#=>space											
;															
#TABLE	RandomOptionTable														
;					이후 파라미터 순서 바꾸지 말것!!!										
;		"OptionHide : 0이면 떨어질때부터 옵션이 알려져 있음, 1이면 판독을 해야 옵션을 확인, 사용할 수 있음"													
#COLUMNTYPE	STRING[33]	BYTE	BYTE	BYTE	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	BYTE
#RECORD	RandomNamedMW03	0	1	5	1	10	1	10	1	10	1	10	1	10	6
#RECORD	RandomNamedMW04	0	1	5	1	15	1	15	1	15	1	15	1	15	6
#RECORD	RandomNamedMW05	0	1	5	1	20	1	20	1	20	1	20	1	20	6
#RECORD	RandomNamedMW06	0	1	5	1	25	1	25	1	25	1	25	1	25	6
#RECORD	RandomNamedMW07	0	1	5	1	30	1	30	1	30	1	30	1	30	6
#RECORD	RandomNamedMW08	0	1	5	1	35	1	35	1	35	1	35	1	35	6
#RECORD	RandomNamedMW09	0	1	5	1	40	1	40	1	40	1	40	1	40	6
#RECORD	RandomNamedMW10	0	1	5	1	45	1	45	1	45	1	45	1	45	6
#RECORD	RandomNamedMW11	0	1	5	1	50	1	50	1	50	1	50	1	50	6
#RECORD	RandomNamedMW12	0	1	5	1	55	1	55	1	55	1	55	1	55	6
#RECORD	RandomRare50	0	2	5	1	25	1	25	1	25	1	25	1	25	7
#RECORD	RandomRare70	0	2	5	1	35	1	35	1	35	1	35	1	35	7	
																
#END																
