;
; Default Character Data
; 2005.6 By CJC
; 

;-------------------------------- DEFINE SCRIPTOR COMMAND ---------------------------------
#DEFINE CHARACTER
	<INTEGER>		; Class

	<STRING>		; Start Map name
	<INTEGER>		; Start PX
	<INTEGER>		; Start PY

	<INTEGER>		; HP
	<INTEGER>		; SP
	<INTEGER>		; HP Soul stone count
	<INTEGER>		; SP Soul stone count

	<INTEGER>		; Money
	#ENDDEFINE
	
#DEFINE ITEM
	<INTEGER>		; Class
	<INTEGER>		; Item ID
	<INTEGER>		; Item Lot
	#ENDDEFINE

#DEFINE SKILL
	<INTEGER>		; Class
	<INTEGER>		; Skill ID
	#ENDDEFINE

#DEFINE QUEST
	<INTEGER>		; Class
	<INTEGER>		; Quest ID
	#ENDDEFINE
	
	
;----------------------------------- DEFINE DATA -----------------------------------
; Class:
;	1 = Fighter
;	8 = Cleric
;	15 = Archer
;	22 = Mage

;-----------------------------------------------------------------------------------
;		Class		Map	PX	PY	HP	SP	HPSoul		SPSoul		Money
CHARACTER	1,		"Rou",	7744,	4735,	52,	10,	15,		7,		0
CHARACTER	2,		"Rou",	7744,	4735,	52,	10,	15,		7,		0
CHARACTER	3,		"Rou",	7744,	4735,	52,	10,	15,		7,		0
CHARACTER	4,		"Rou",	7744,	4735,	52,	10,	15,		7,		0
CHARACTER	5,		"Rou",	7744,	4735,	52,	10,	15,		7,		0
CHARACTER	6,		"Rou",	7744,	4735,	52,	10,	15,		7,		0
CHARACTER	7,		"Rou",	7744,	4735,	52,	10,	15,		7,		0

CHARACTER	8,		"Rou",	7744,	4735,	46,	32,	14,		10,		0
CHARACTER	9,		"Rou",	7744,	4735,	46,	32,	14,		10,		0	
CHARACTER	10,		"Rou",	7744,	4735,	46,	32,	14,		10,		0	
CHARACTER	11,		"Rou",	7744,	4735,	46,	32,	14,		10,		0	
CHARACTER	12,		"Rou",	7744,	4735,	46,	32,	14,		10,		0	
CHARACTER	13,		"Rou",	7744,	4735,	46,	32,	14,		10,		0	
CHARACTER	14,		"Rou",	7744,	4735,	46,	32,	14,		10,		0	

CHARACTER	15,		"Rou",	7744,	4735,	46,	24,	13,		10,		0
CHARACTER	16,		"Rou",	7744,	4735,	46,	24,	13,		10,		0
CHARACTER	17,		"Rou",	7744,	4735,	46,	24,	13,		10,		0
CHARACTER	18,		"Rou",	7744,	4735,	46,	24,	13,		10,		0
CHARACTER	19,		"Rou",	7744,	4735,	46,	24,	13,		10,		0
CHARACTER	20,		"Rou",	7744,	4735,	46,	24,	13,		10,		0
CHARACTER	21,		"Rou",	7744,	4735,	46,	24,	13,		10,		0

CHARACTER	22,		"Rou",	7744,	4735,	42,	46,	11,		15,		0
CHARACTER	23,		"Rou",	7744,	4735,	42,	46,	11,		15,		0
CHARACTER	24,		"Rou",	7744,	4735,	42,	46,	11,		15,		0
CHARACTER	25,		"Rou",	7744,	4735,	42,	46,	11,		15,		0
CHARACTER	26,		"Rou",	7744,	4735,	42,	46,	11,		15,		0
CHARACTER	27,		"Rou",	7744,	4735,	42,	46,	11,		15,		0
CHARACTER	28,		"Rou",	7744,	4735,	42,	46,	11,		15,		0

;-----------------------------------------------------------------------------------												
;		Class		ItemID,		Lot	; 생성되면 이미 인벤이 있는 아이템임		
SKILL       7,	    29201,      ;귀환스크롤 사용
SKILL       8,	    29201,		;귀환스크롤 사용
SKILL       9,	    29201,      ;귀환스크롤 사용
SKILL       10,	    29201,      ;귀환스크롤 사용
SKILL       11,	    29201,      ;귀환스크롤 사용
SKILL       12,	    29201,		;귀환스크롤 사용
SKILL       13,	    29201,      ;귀환스크롤 사용
SKILL		14,	    29201,      ;귀환스크롤 사용
SKILL       15,	    29201,      ;귀환스크롤 사용
SKILL       16,	    29201,		;귀환스크롤 사용
SKILL       17,	    29201,      ;귀환스크롤 사용
SKILL       18,	    29201,      ;귀환스크롤 사용
SKILL       19,	    29201,      ;귀환스크롤 사용
SKILL       20,		29201,		;귀환스크롤 사용
SKILL       21,	    29201,      ;귀환스크롤 사용
SKILL       22,	    29201,      ;귀환스크롤 사용
SKILL       23,	    29201,      ;귀환스크롤 사용
SKILL       24,	    29201,		;귀환스크롤 사용
SKILL       25,	    29201,      ;귀환스크롤 사용
SKILL       26,	    29201,      ;귀환스크롤 사용
SKILL       27,	    29201,      ;귀환스크롤 사용
SKILL       28,	    29201,		;귀환스크롤 사용

SKILL       1,	    29202,	    ;스킬 배움
SKILL       2,	    29202,		;스킬 배움
SKILL       3,	    29202,      ;스킬 배움
SKILL       4,	    29202,      ;스킬 배움
SKILL       5,	    29202,      ;스킬 배움
SKILL       6,	    29202,      ;스킬 배움
SKILL       7,	    29202,      ;스킬 배움
SKILL       8,	    29202,		;스킬 배움
SKILL       9,	    29202,      ;스킬 배움
SKILL       10,	    29202,      ;스킬 배움
SKILL       11,	    29202,      ;스킬 배움
SKILL       12,	    29202,		;스킬 배움
SKILL       13,	    29202,      ;스킬 배움
SKILL		14,	    29202,      ;스킬 배움
SKILL       15,	    29202,      ;스킬 배움
SKILL       16,	    29202,		;스킬 배움
SKILL       17,	    29202,      ;스킬 배움
SKILL       18,	    29202,      ;스킬 배움
SKILL       19,	    29202,      ;스킬 배움
SKILL       20,		29202,		;스킬 배움
SKILL       21,	    29202,      ;스킬 배움
SKILL       22,	    29202,      ;스킬 배움
SKILL       23,	    29202,      ;스킬 배움
SKILL       24,	    29202,		;스킬 배움
SKILL       25,	    29202,      ;스킬 배움
SKILL       26,	    29202,      ;스킬 배움
SKILL       27,	    29202,      ;스킬 배움
SKILL       28,	    29202,		;스킬 배움

SKILL       1,	    29203,	    ;포션 사용
SKILL       2,	    29203,		;포션 사용
SKILL       3,	    29203,      ;포션 사용
SKILL       4,	    29203,      ;포션 사용
SKILL       5,	    29203,      ;포션 사용
SKILL       6,	    29203,      ;포션 사용
SKILL       7,	    29203,      ;포션 사용
SKILL       8,	    29203,		;포션 사용
SKILL       9,	    29203,      ;포션 사용
SKILL       10,	    29203,      ;포션 사용
SKILL       11,	    29203,      ;포션 사용
SKILL       12,	    29203,		;포션 사용
SKILL       13,	    29203,      ;포션 사용
SKILL		14,	    29203,      ;포션 사용
SKILL       15,	    29203,      ;포션 사용
SKILL       16,	    29203,		;포션 사용
SKILL       17,	    29203,      ;포션 사용
SKILL       18,	    29203,      ;포션 사용
SKILL       19,	    29203,      ;포션 사용
SKILL       20,		29203,		;포션 사용
SKILL       21,	    29203,      ;포션 사용
SKILL       22,	    29203,      ;포션 사용
SKILL       23,	    29203,      ;포션 사용
SKILL       24,	    29203,		;포션 사용
SKILL       25,	    29203,      ;포션 사용
SKILL       26,	    29203,      ;포션 사용
SKILL       27,	    29203,      ;포션 사용
SKILL       28,	    29203,		;포션 사용

SKILL       1,	    29204,	    ;상자 열기
SKILL       2,	    29204,		;상자 열기
SKILL       3,	    29204,      ;상자 열기
SKILL       4,	    29204,      ;상자 열기
SKILL       5,	    29204,      ;상자 열기
SKILL       6,	    29204,      ;상자 열기
SKILL       7,	    29204,      ;상자 열기
SKILL       8,	    29204,		;상자 열기
SKILL       9,	    29204,      ;상자 열기
SKILL       10,	    29204,      ;상자 열기
SKILL       11,	    29204,      ;상자 열기
SKILL       12,	    29204,		;상자 열기
SKILL       13,	    29204,      ;상자 열기
SKILL		14,	    29204,      ;상자 열기
SKILL       15,	    29204,      ;상자 열기
SKILL       16,	    29204,		;상자 열기
SKILL       17,	    29204,      ;상자 열기
SKILL       18,	    29204,      ;상자 열기
SKILL       19,	    29204,      ;상자 열기
SKILL       20,		29204,		;상자 열기
SKILL       21,	    29204,      ;상자 열기
SKILL       22,	    29204,      ;상자 열기
SKILL       23,	    29204,      ;상자 열기
SKILL       24,	    29204,		;상자 열기
SKILL       25,	    29204,      ;상자 열기
SKILL       26,	    29204,      ;상자 열기
SKILL       27,	    29204,      ;상자 열기
SKILL       28,	    29204,		;상자 열기

SKILL       1,	    29205,	    ;스크롤 사용
SKILL       2,	    29205,		;스크롤 사용
SKILL       3,	    29205,      ;스크롤 사용
SKILL       4,	    29205,      ;스크롤 사용
SKILL       5,	    29205,      ;스크롤 사용
SKILL       6,	    29205,      ;스크롤 사용
SKILL       7,	    29205,      ;스크롤 사용
SKILL       8,	    29205,		;스크롤 사용
SKILL       9,	    29205,      ;스크롤 사용
SKILL       10,	    29205,      ;스크롤 사용
SKILL       11,	    29205,      ;스크롤 사용
SKILL       12,	    29205,		;스크롤 사용
SKILL       13,	    29205,      ;스크롤 사용
SKILL		14,	    29205,      ;스크롤 사용
SKILL       15,	    29205,      ;스크롤 사용
SKILL       16,	    29205,		;스크롤 사용
SKILL       17,	    29205,      ;스크롤 사용
SKILL       18,	    29205,      ;스크롤 사용
SKILL       19,	    29205,      ;스크롤 사용
SKILL       20,		29205,		;스크롤 사용
SKILL       21,	    29205,      ;스크롤 사용
SKILL       22,	    29205,      ;스크롤 사용
SKILL       23,	    29205,      ;스크롤 사용
SKILL       24,	    29205,		;스크롤 사용
SKILL       25,	    29205,      ;스크롤 사용
SKILL       26,	    29205,      ;스크롤 사용
SKILL       27,	    29205,      ;스크롤 사용
SKILL       28,	    29205,		;스크롤 사용
; ------------------------------
; 5/4/2023: Cooking and Camping
; ------------------------------
SKILL       1,	    29106,		; Cooking
SKILL       1,	    29208,		; Camping
SKILL       8,	    29106,		; Cooking
SKILL       8,	    29208,		; Camping
SKILL       15,	    29106,		; Cooking
SKILL       15,	    29208,		; Camping
SKILL       22,	    29106,		; Cooking
SKILL       22,	    29208,		; Camping
;-----------------------------------------------------------------------------------							
; 		    Class	Quest ID	; 생성되면 이미 퀘스트 받은상태로 됨			
;QUEST		1,		0			; ?
;QUEST		8,		0			; ?
;QUEST		15,		0			; ?
;QUEST		22,		0			; ?


#END
